rule_id,rule_name,layer,severity,official_spec_basis,implemented_in,tested_by,positive_test,negative_test,network_required,notes
OKF-SOURCE-URL-INVALID,absolute URL syntax, references,error,OKF v0.2 §5.1/§6.2,tools/okf/references.mjs,tests/okf/strict-validator.test.ts,external URL syntax,invalid URL,No,No network request in default mode.
OKF-SOURCE-ABSOLUTE,filesystem absolute source rejected, references,error,repository safety rule for local paths,tools/okf/references.mjs,tests/okf/strict-validator.test.ts,bundle-relative source,drive/UNC/file source,No,HTTPS is not treated as filesystem absolute.
OKF-SOURCE-TRAVERSAL,source remains inside bundle, references,error,repository safety boundary for deterministic local resolution,tools/okf/references.mjs,tests/okf/strict-validator.test.ts,inside-bundle source,escaping source,No,Relative paths inside the bundle remain supported.
OKF-SOURCE-NOT-FOUND,local source exists, references,error,OKF v0.2 path-valued source semantics,tools/okf/references.mjs,tests/okf/strict-validator.test.ts,existing local source,missing local source,No,Regular file check follows syntax.
OKF-SOURCE-NOT-FILE,local source is regular file, references,error,OKF v0.2 concrete artifact source,tools/okf/references.mjs,tests/okf/strict-validator.test.ts,existing file,directory source,No,Directories are not silently accepted.
OKF-SOURCE-UNSAFE-LINK,local source does not follow link, references,error,repository filesystem safety,tools/okf/references.mjs,tests/okf/strict-validator.test.ts,regular local source,symlink source,No,Target is inspected with lstat first.
OKF-SOURCE-PERMALINK-NOT-IMMUTABLE,GitHub blob uses full commit SHA, references,error,Phase 2 immutable source contract; OKF URL syntax,tools/okf/references.mjs,tests/okf/strict-validator.test.ts,full-SHA source,branch or short SHA source,No,superseded_by_phase_4; immutable permalink enforcement belongs to OWA provenance, not official OKF conformance.
OKF-SOURCE-REMOTE-NOT-FOUND,optional remote source exists, references,error,optional remote policy,tools/okf/references.mjs,tests/okf/strict-validator.test.ts,remote mode is opt-in,remote 404,Yes,Bounded five-second request only with --remote.
OKF-LINK-TRAVERSAL,internal link remains in bundle, references,error,repository filesystem safety,tools/okf/references.mjs,tests/okf/strict-validator.test.ts,inside link,escaping link,No,Link target is never read outside bundle.
OKF-LINK-BROKEN,broken internal link is visible, references,warning,OKF v0.2 §6.1 requires consumer tolerance,tools/okf/references.mjs,tests/okf/strict-validator.test.ts,valid link,broken link,No,Strict warnings can make it blocking.
OWA-EXT-ROOT-MISSING,extension root exists, extension,error,OWA extension contract,tools/okf/extension.mjs,tests/okf/strict-validator.test.ts,current extension root,missing extension root,No,Official-only mode does not run this rule.
OWA-EXT-MANIFEST-INVALID,manifest JSON parses, extension,error,OWA extension manifest contract,tools/okf/extension.mjs,tests/okf/strict-validator.test.ts,current manifest,malformed manifest,No,Diagnostic is extension-scoped.
OWA-EXT-MANIFEST-SCHEMA,manifest shape and constants, extension,error,OWA manifest schema,tools/okf/extension.mjs,tests/okf/strict-validator.test.ts,current manifest,invalid status/property,No,Not an official OKF rule.
OWA-EXT-MANIFEST-SCHEMA-REF,manifest schema path resolves, extension,error,OWA extension schema contract,tools/okf/extension.mjs,tests/okf/strict-validator.test.ts,current schema reference,removed schema reference,No,Path is bounded inside extension root.
OWA-EXT-MANIFEST-REGISTRY,manifest registry map is canonical, extension,error,OWA extension registry contract,tools/okf/extension.mjs,tests/okf/strict-validator.test.ts,current registry map,wrong registry path,No,Historical paths are rejected.
OWA-EXT-JSON-INVALID,extension JSON parses, extension,error,OWA extension data contract,tools/okf/extension.mjs,tests/okf/strict-validator.test.ts,current JSON files,malformed auxiliary JSON,No,All extension JSON files are scanned.
OWA-EXT-SCHEMA-INVALID,extension schema documents parse, extension,error,OWA extension schema contract,tools/okf/extension.mjs,tests/okf/strict-validator.test.ts,current schemas,malformed schema,No,JSON Schema is supplemented by procedural checks.
OWA-EXT-SCHEMA-REF-BROKEN,local schema refs resolve, extension,error,OWA schema resolution,tools/okf/extension.mjs,tests/okf/strict-validator.test.ts,current schemas,broken $ref,No,External refs are not fetched.
OWA-EXT-REGISTRY-SCHEMA,registry shape and version, extension,error,OWA registry schema,tools/okf/extension.mjs,tests/okf/strict-validator.test.ts,current registries,invalid registry shape,No,Each named registry is checked separately.
OWA-EXT-REGISTRY-FIELD,registry required fields, extension,error,OWA registry schema,tools/okf/extension.mjs,tests/okf/strict-validator.test.ts,current registries,missing id/name/status,No,IDs are subsequently checked globally.
OWA-EXT-REGISTRY-STATUS,registry status enum, extension,error,OWA status model,tools/okf/extension.mjs,tests/okf/strict-validator.test.ts,current statuses,unsupported status,No,Statuses are project-specific uppercase values.
OWA-EXT-REGISTRY-DUPLICATE-ID,registry IDs are globally unique, extension,error,OWA traceability contract,tools/okf/extension.mjs,tests/okf/strict-validator.test.ts,current IDs,duplicate ID,No,Repeated references are not treated as definitions.
OWA-EXT-MAPPING-INVALID,registry mapping type, extension,error,OWA authority mapping contract,tools/okf/extension.mjs,tests/okf/strict-validator.test.ts,current mappings,scalar mapping,No,Mapping arrays are checked before values.
OWA-EXT-MAPPING-BROKEN,registry mapping target, extension,error,OWA authority mapping contract,tools/okf/extension.mjs,tests/okf/strict-validator.test.ts,current mappings,unknown authority ID,No,Authority source text is read locally.
OWA-EXT-PATH-UNSAFE,extension path has no absolute/traversal, extension,error,OWA repository path contract,tools/okf/extension.mjs,tests/okf/strict-validator.test.ts,current relative paths,drive/traversal path,No,Uses lstat for bounded regular-file checks.
OWA-EXT-PATH-NOT-FOUND,extension path exists, extension,error,OWA repository path contract,tools/okf/extension.mjs,tests/okf/strict-validator.test.ts,current paths,removed registry path,No,Focused negative test asserts this rule.
OWA-EXT-VERIFIED-WITHOUT-EVIDENCE,verified node has evidence, extension,error,OWA semantic rules,tools/okf/extension.mjs,tests/okf/strict-validator.test.ts,current evidence,verified node without evidence,No,Project rule only.
OWA-EXT-EVIDENCE-REF-BROKEN,evidence reference resolves, extension,error,OWA evidence graph,tools/okf/extension.mjs,tests/okf/strict-validator.test.ts,current evidence,removed evidence ID,No,Does not affect official Concepts.
OWA-EXT-EVIDENCE-ORPHAN,evidence is referenced, extension,error,OWA evidence graph,tools/okf/extension.mjs,tests/okf/strict-validator.test.ts,current evidence,orphan evidence,No,Official text is read only for traceability.
OWA-EXT-RELATIONSHIP-REF-BROKEN,relationship endpoints resolve, extension,error,OWA relationship graph,tools/okf/extension.mjs,tests/okf/strict-validator.test.ts,current relationships,removed endpoint,No,Graph check remains extension-scoped.
OWA-EXT-PHASE-NUMBER,phase number valid, extension,error,OWA phase registry,tools/okf/extension.mjs,tests/okf/strict-validator.test.ts,current phase registry,invalid phase number,No,Range is project policy.
OWA-EXT-PHASE-MISSING,canonical phases exist, extension,error,OWA phase registry,tools/okf/extension.mjs,tests/okf/strict-validator.test.ts,current phase registry,removed phase,No,Required phases 1-8.
OWA-EXT-CHANGE-MISSING,canonical change records exist, extension,error,OWA change registry,tools/okf/extension.mjs,tests/okf/strict-validator.test.ts,current change registry,removed change,No,Required records are explicit.
OWA-EXT-AUTHORITY-MISSING,authority documents exist, extension,error,OWA authority contract,tools/okf/extension.mjs,tests/okf/strict-validator.test.ts,current authorities,missing authority,No,No network lookup.
OWA-EXT-AUTHORITY-ID-MISSING,critical authority IDs exist, extension,error,OWA traceability contract,tools/okf/extension.mjs,tests/okf/strict-validator.test.ts,current authority IDs,removed critical ID,No,Project rule only.
OWA-EXT-REQUIREMENT-ORPHAN,critical requirements are mapped, extension,error,OWA traceability contract,tools/okf/extension.mjs,tests/okf/strict-validator.test.ts,current registry mappings,orphan requirement,No,Project quality/extension rule.
OWA-EXT-CANONICAL-ARTIFACT-MISSING,canonical extension artifacts exist, extension,error,OWA migration contract,tools/okf/extension.mjs,tests/okf/strict-validator.test.ts,current artifact set,removed canonical file,No,Historical migration artifacts are checked only here.
OWA-EXT-LINK-BROKEN,extension links resolve, extension,error,OWA extension documentation contract,tools/okf/extension.mjs,tests/okf/strict-validator.test.ts,current extension links,broken extension link,No,Separate from official cross-link tolerance.
OWA-QUALITY-ROOT-VERSION,repository root declares version, quality,error,OWA repository policy,tools/okf/policy.mjs,tests/okf/layered-validator.test.ts,current root index,wrong root version,No,Not official conformance.
OWA-QUALITY-YAML-PRODUCER-SAFETY,producer YAML avoids unsafe features, quality,error,OWA repository policy,tools/okf/policy.mjs,tests/okf/layered-validator.test.ts,current frontmatter,anchors/tabs,No,Official parser still accepts valid aliases.
OWA-QUALITY-TAXONOMY,repository type taxonomy, quality,error,OWA repository policy,tools/okf/policy.mjs,tests/okf/layered-validator.test.ts,current taxonomy,unknown project type,No,Unknown official types remain valid.
OWA-QUALITY-REQUIRED-METADATA,project metadata completeness, quality,error,OWA repository policy,tools/okf/policy.mjs,tests/okf/layered-validator.test.ts,current Concepts,missing title/description/status,No,Recommendation is not official.
OWA-QUALITY-H1-MISSING,Concept H1 convention, quality,error,OWA documentation convention,tools/okf/policy.mjs,tests/okf/layered-validator.test.ts,current Concepts,missing H1,No,Official body is otherwise free-form.
OWA-QUALITY-TITLE-MISMATCH,title/H1 consistency, quality,error,OWA documentation convention,tools/okf/policy.mjs,tests/okf/layered-validator.test.ts,current Concepts,mismatched title,No,Project convention only.
OWA-QUALITY-SOURCE-ID,source ID convention, quality,error,OWA provenance convention,tools/okf/policy.mjs,tests/okf/layered-validator.test.ts,current sources,invalid source ID,No,Resource syntax is references-layer responsibility.
OWA-QUALITY-OWA-OBJECT,custom owa shape, quality,error,OWA extension metadata contract,tools/okf/policy.mjs,tests/okf/layered-validator.test.ts,current owa fields,non-object owa,No,Custom field remains separate from official metadata.
OWA-QUALITY-CONCEPT-UNREACHABLE,Concept reachability recommendation, quality,warning,OWA documentation quality,tools/okf/policy.mjs,tests/okf/layered-validator.test.ts,current linked bundle,orphan Concept,No,Warning is non-blocking by default.
OWA-FORMAT-FRONTMATTER-ORDER,canonical frontmatter order, format,warning,OWA formatting convention,tools/okf/policy.mjs,tests/okf/layered-validator.test.ts,current formatted Concepts,reordered fields,No,Formatting is not official conformance.
OWA-FORMAT-TRAILING-WHITESPACE,trailing whitespace, format,warning,OWA formatting convention,tools/okf/policy.mjs,tests/okf/layered-validator.test.ts,current formatted Concepts,trailing whitespace,No,Strict warnings can make it blocking.
OKF-INTERNAL-UNEXPECTED-EXCEPTION,unexpected validator exception, internal,error,validator safety contract,tools/okf/cli.mjs;tools/okf/validate-all.mjs,tests/okf/strict-validator.test.ts,normal validation, injected exception,No,Always exits non-zero and remains visible.
