"rule_id","active","layer","severity","official_spec_basis","owa_policy_basis","implementation_file","test_file","test_coverage","historical_alias_or_status","notes"
"OKF-CONFORMANCE-LOG-DATE-MISSING","true","official","error","OKF v0.2 §§9 and 11","N/A: normative OKF layer","tools/okf/official.mjs","tests/okf/strict-validator.test.ts","Focused official conformance regression and layer-isolation tests","OKF-LOG-DATE-MISSING","Active stable diagnostic; current production run emitted zero instances."
"OKF-CONFORMANCE-LOG-FRONTMATTER","true","official","error","OKF v0.2 §§9 and 11","N/A: normative OKF layer","tools/okf/frontmatter.mjs;tools/okf/official.mjs","tests/okf/strict-validator.test.ts","Focused official conformance regression and layer-isolation tests","OKF-LOG-FRONTMATTER","Active stable diagnostic; current production run emitted zero instances."
"OKF-CONFORMANCE-MD-DIRECTORY","true","official","error","OKF v0.2 §§3, 3.1 and 11","N/A: normative OKF layer","tools/okf/discovery.mjs;tools/okf/official.mjs","tests/okf/strict-validator.test.ts","Focused official conformance regression and layer-isolation tests","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OKF-CONFORMANCE-TYPE-EMPTY","true","official","error","OKF v0.2 §§4, 4.1 and 11","N/A: normative OKF layer","tools/okf/frontmatter.mjs;tools/okf/official.mjs","tests/okf/strict-validator.test.ts","Focused official conformance regression and layer-isolation tests","OKF-TYPE-EMPTY","Active stable diagnostic; current production run emitted zero instances."
"OKF-CONFORMANCE-TYPE-MISSING","true","official","error","OKF v0.2 §§4, 4.1 and 11","N/A: normative OKF layer","tools/okf/frontmatter.mjs;tools/okf/official.mjs","tests/okf/strict-validator.test.ts","Focused official conformance regression and layer-isolation tests","OKF-TYPE-MISSING","Active stable diagnostic; current production run emitted zero instances."
"OKF-CONFORMANCE-TYPE-NOT-STRING","true","official","error","OKF v0.2 §§4, 4.1 and 11","N/A: normative OKF layer","tools/okf/frontmatter.mjs;tools/okf/official.mjs","tests/okf/strict-validator.test.ts","Focused official conformance regression and layer-isolation tests","OKF-TYPE-NOT-STRING","Active stable diagnostic; current production run emitted zero instances."
"OKF-CONFORMANCE-UNEXPECTED-ARTIFACT","true","official","error","OKF v0.2 §§3, 3.1 and 11","N/A: normative OKF layer","tools/okf/official.mjs;tools/okf/validate-all.mjs","tests/okf/strict-validator.test.ts","Focused official conformance regression and layer-isolation tests","OKF-STRUCT-UNEXPECTED-ARTIFACT","Active stable diagnostic; current production run emitted zero instances."
"OKF-CONFORMANCE-UNREADABLE","true","official","error","OKF v0.2 §§3, 3.1 and 11","N/A: normative OKF layer","tools/okf/discovery.mjs;tools/okf/official.mjs","tests/okf/strict-validator.test.ts","Focused official conformance regression and layer-isolation tests","OKF-STRUCT-UNREADABLE","Active stable diagnostic; current production run emitted zero instances."
"OKF-CONFORMANCE-UNSAFE-LINK","true","official","error","Repository safety extension adjacent to OKF v0.2 §§3, 3.1 and 11; not a general normative requirement","Repository implementation guard; not a Google OKF requirement","tools/okf/official.mjs;tools/okf/validate-all.mjs","tests/okf/strict-validator.test.ts","Focused official conformance regression and layer-isolation tests","Current stable identifier","Symlink and junction rejection is a deterministic repository safety guard kept in the official validation boundary."
"OKF-CONFORMANCE-YAML-INVALID","true","official","error","OKF v0.2 §§4, 4.1 and 11","N/A: normative OKF layer","tools/okf/frontmatter.mjs;tools/okf/official.mjs","tests/okf/strict-validator.test.ts","Focused official conformance regression and layer-isolation tests","OKF-YAML-INVALID","Active stable diagnostic; current production run emitted zero instances."
"OWA-EXT-AUTHORITY-ID-MISSING","true","extension","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/extension.mjs","tests/okf/strict-validator.test.ts","Focused extension isolation and schema/path regression tests","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-EXT-AUTHORITY-MISSING","true","extension","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/extension.mjs","tests/okf/strict-validator.test.ts","Focused extension isolation and schema/path regression tests","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-EXT-CANONICAL-ARTIFACT-MISSING","true","extension","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/extension.mjs","tests/okf/strict-validator.test.ts","Focused extension isolation and schema/path regression tests","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-EXT-CHANGE-MISSING","true","extension","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/extension.mjs","tests/okf/strict-validator.test.ts","Focused extension isolation and schema/path regression tests","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-EXT-EVIDENCE-ORPHAN","true","extension","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/extension.mjs","tests/okf/strict-validator.test.ts","Focused extension isolation and schema/path regression tests","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-EXT-EVIDENCE-REF-BROKEN","true","extension","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/extension.mjs","tests/okf/strict-validator.test.ts","Focused extension isolation and schema/path regression tests","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-EXT-JSON-INVALID","true","extension","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/extension.mjs","tests/okf/strict-validator.test.ts","Focused extension isolation and schema/path regression tests","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-EXT-LEGACY-ERROR","true","extension","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/extension.mjs","tests/okf/strict-validator.test.ts","Focused extension isolation and schema/path regression tests","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-EXT-LINK-BROKEN","true","extension","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/extension.mjs","tests/okf/strict-validator.test.ts","Focused extension isolation and schema/path regression tests","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-EXT-MANIFEST-INVALID","true","extension","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/extension.mjs","tests/okf/strict-validator.test.ts","Focused extension isolation and schema/path regression tests","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-EXT-MANIFEST-REGISTRY","true","extension","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/extension.mjs","tests/okf/strict-validator.test.ts","Focused extension isolation and schema/path regression tests","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-EXT-MANIFEST-SCHEMA","true","extension","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/extension.mjs","tests/okf/strict-validator.test.ts","Focused extension isolation and schema/path regression tests","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-EXT-MANIFEST-SCHEMA-REF","true","extension","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/extension.mjs","tests/okf/strict-validator.test.ts","Focused extension isolation and schema/path regression tests","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-EXT-MAPPING-BROKEN","true","extension","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/extension.mjs","tests/okf/strict-validator.test.ts","Focused extension isolation and schema/path regression tests","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-EXT-MAPPING-INVALID","true","extension","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/extension.mjs","tests/okf/strict-validator.test.ts","Focused extension isolation and schema/path regression tests","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-EXT-PATH-NOT-FOUND","true","extension","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/extension.mjs","tests/okf/strict-validator.test.ts","Focused extension isolation and schema/path regression tests","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-EXT-PATH-UNSAFE","true","extension","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/extension.mjs","tests/okf/strict-validator.test.ts","Focused extension isolation and schema/path regression tests","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-EXT-PHASE-MISSING","true","extension","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/extension.mjs","tests/okf/strict-validator.test.ts","Focused extension isolation and schema/path regression tests","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-EXT-PHASE-NUMBER","true","extension","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/extension.mjs","tests/okf/strict-validator.test.ts","Focused extension isolation and schema/path regression tests","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-EXT-REGISTRY-DUPLICATE-ID","true","extension","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/extension.mjs","tests/okf/strict-validator.test.ts","Focused extension isolation and schema/path regression tests","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-EXT-REGISTRY-FIELD","true","extension","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/extension.mjs","tests/okf/strict-validator.test.ts","Focused extension isolation and schema/path regression tests","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-EXT-REGISTRY-ITEM","true","extension","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/extension.mjs","tests/okf/strict-validator.test.ts","Focused extension isolation and schema/path regression tests","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-EXT-REGISTRY-SCHEMA","true","extension","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/extension.mjs","tests/okf/strict-validator.test.ts","Focused extension isolation and schema/path regression tests","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-EXT-REGISTRY-STATUS","true","extension","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/extension.mjs","tests/okf/strict-validator.test.ts","Focused extension isolation and schema/path regression tests","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-EXT-RELATIONSHIP-REF-BROKEN","true","extension","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/extension.mjs","tests/okf/strict-validator.test.ts","Focused extension isolation and schema/path regression tests","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-EXT-REQUIREMENT-ORPHAN","true","extension","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/extension.mjs","tests/okf/strict-validator.test.ts","Focused extension isolation and schema/path regression tests","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-EXT-ROOT-MISSING","true","extension","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/extension.mjs","tests/okf/strict-validator.test.ts","Focused extension isolation and schema/path regression tests","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-EXT-SCHEMA-INVALID","true","extension","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/extension.mjs","tests/okf/strict-validator.test.ts","Focused extension isolation and schema/path regression tests","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-EXT-SCHEMA-REF-BROKEN","true","extension","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/extension.mjs","tests/okf/strict-validator.test.ts","Focused extension isolation and schema/path regression tests","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-EXT-VERIFIED-WITHOUT-EVIDENCE","true","extension","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/extension.mjs","tests/okf/strict-validator.test.ts","Focused extension isolation and schema/path regression tests","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-FORMAT-FRONTMATTER-ORDER","true","format","warning","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/policy.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Warning by default; warnings-as-errors can promote the exit result."
"OWA-FORMAT-TRAILING-WHITESPACE","true","format","warning","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/policy.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Warning by default; warnings-as-errors can promote the exit result."
"OWA-PROVENANCE-COMMIT-NOT-FOUND","true","provenance","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/provenance.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-PROVENANCE-GITHUB-PERMALINK-MALFORMED","true","provenance","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/provenance.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-PROVENANCE-LOCAL-ABSOLUTE-PATH","true","provenance","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/provenance.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-PROVENANCE-LOCAL-CHECK-FAILED","true","provenance","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/provenance.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-PROVENANCE-MUTABLE-GITHUB-URL","true","provenance","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/provenance.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-PROVENANCE-NON-GITHUB-URL","true","provenance","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/provenance.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-PROVENANCE-PATH-NOT-IN-COMMIT","true","provenance","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/provenance.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-PROVENANCE-RELATIVE-SOURCE","true","provenance","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/provenance.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-PROVENANCE-REMOTE-NOT-FOUND","true","provenance","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/provenance.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-QUALITY-CONCEPT-UNREACHABLE","true","quality","warning","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/policy.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Warning by default; warnings-as-errors can promote the exit result."
"OWA-QUALITY-DEPRECATED-RATIONALE","true","quality","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/policy.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-QUALITY-GENERATED","true","quality","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/policy.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-QUALITY-H1-MISSING","true","quality","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/policy.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-QUALITY-OWA-FIELD","true","quality","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/policy.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-QUALITY-OWA-IDS","true","quality","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/policy.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-QUALITY-OWA-OBJECT","true","quality","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/policy.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-QUALITY-REQUIRED-METADATA","true","quality","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/policy.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-QUALITY-RESOURCE","true","quality","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/policy.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-QUALITY-ROOT-VERSION","true","quality","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/policy.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-QUALITY-SOURCE-DUPLICATE","true","quality","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/policy.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-QUALITY-SOURCE-FIELD","true","quality","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/policy.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-QUALITY-SOURCE-ID","true","quality","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/policy.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-QUALITY-SOURCE-RESOURCE","true","quality","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/policy.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-QUALITY-SOURCES","true","quality","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/policy.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-QUALITY-SOURCES-MISSING","true","quality","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/policy.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-QUALITY-STALE-DATE","true","quality","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/policy.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-QUALITY-STALE-DATE-MISSING","true","quality","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/policy.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-QUALITY-STATUS","true","quality","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/policy.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-QUALITY-TAGS","true","quality","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/policy.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-QUALITY-TAXONOMY","true","quality","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/policy.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-QUALITY-TITLE-MISMATCH","true","quality","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/policy.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
"OWA-QUALITY-UNKNOWN-FIELD","true","quality","error","OWA policy contract; not a Google OKF conformance requirement","docs/okf-conformance/VALIDATION_CONTRACT.md","tools/okf/policy.mjs","tests/okf/strict-validator.test.ts","Layer-level regression coverage in strict-validator.test.ts","Current stable identifier","Active stable diagnostic; current production run emitted zero instances."
